"FileName","Path","MissingImports","Placeholders","SuggestedFixes"
"page.ts","D:\cbtc-final\cbtc-lms\.next\types\app\admin\audit\readiness\page.ts","../../../../../../app/admin/audit/readiness/page.js","",""
"page.ts","D:\cbtc-final\cbtc-lms\.next\types\app\admin\audit\page.ts","../../../../../app/admin/audit/page.js","",""
"page.ts","D:\cbtc-final\cbtc-lms\.next\types\app\admin\courses\inspect\page.ts","../../../../../../app/admin/courses/inspect/page.js","",""
"page.ts","D:\cbtc-final\cbtc-lms\.next\types\app\admin\courses\page.ts","../../../../../app/admin/courses/page.js","",""
"page.ts","D:\cbtc-final\cbtc-lms\.next\types\app\admin\dashboard\page.ts","../../../../../app/admin/dashboard/page.js","",""
"page.ts","D:\cbtc-final\cbtc-lms\.next\types\app\admin\integrity\page.ts","../../../../../app/admin/integrity/page.js","",""
"page.ts","D:\cbtc-final\cbtc-lms\.next\types\app\admin\student\page.ts","../../../../../app/admin/student/page.js","",""
"page.ts","D:\cbtc-final\cbtc-lms\.next\types\app\admin\page.ts","../../../../app/admin/page.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\export-compliance\route.ts","../../../../../../app/api/admin/export-compliance/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\export-friction\route.ts","../../../../../../app/api/admin/export-friction/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\student\route.ts","../../../../../../app/api/admin/student/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\admin\route.ts","../../../../../app/api/admin/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\analytics\friction\route.ts","../../../../../../app/api/analytics/friction/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\analytics\route.ts","../../../../../app/api/analytics/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\analyze-assessment\route.ts","../../../../../app/api/analyze-assessment/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\analyze-handwriting\route.ts","../../../../../app/api/analyze-handwriting/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\assessment\analyze\route.ts","../../../../../../app/api/assessment/analyze/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\assessment\route.ts","../../../../../app/api/assessment/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\auth\login\route.ts","../../../../../../app/api/auth/login/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\auth\register\route.ts","../../../../../../app/api/auth/register/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\auth\route.ts","../../../../../app/api/auth/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\bulk-inflate\route.ts","../../../../../app/api/bulk-inflate/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\courses\route.ts","../../../../../app/api/courses/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\dashboard-metrics\route.ts","../../../../../app/api/dashboard-metrics/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\debug\final-audit\route.ts","../../../../../../app/api/debug/final-audit/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\debug\full-audit\route.ts","../../../../../../app/api/debug/full-audit/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\debug\health-check\route.ts","../../../../../../app/api/debug/health-check/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\debug\route.ts","../../../../../app/api/debug/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\enrollments\route.ts","../../../../../app/api/enrollments/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\friction-data\route.ts","../../../../../app/api/friction-data/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\health\route.ts","../../../../../app/api/health/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\inflate-questions\route.ts","../../../../../app/api/inflate-questions/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\ingest\route.ts","../../../../../app/api/ingest/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\instructor\friction-details\route.ts","../../../../../../app/api/instructor/friction-details/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\instructor\route.ts","../../../../../app/api/instructor/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\modules\route.ts","../../../../../app/api/modules/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\b2b\employees\route.ts","../../../../../../../app/api/payments/b2b/employees/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\b2b\route.ts","../../../../../../app/api/payments/b2b/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\student\route.ts","../../../../../../app/api/payments/student/route.js","",""
"route.ts","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\route.ts","../../../../../app/api/payments/route.js","",""
